"nombre_pais","region","anio","Crecimiento del PIB (% anual)","Crecimiento del PIB per cápita (% anual)","Índice de recuento de la pobreza multidimensional (Banco Mundial) (% de la población)","pbi","pbi_pc","pob"
"Santa Lucía","América Latina y el Caribe",2025,NA,NA,NA,NA,NA,NA
"St. Martin (French part)","América Latina y el Caribe",2016,5,5.54794889038332,NA,5,5.54794889038332,NA
"St. Martin (French part)","América Latina y el Caribe",2017,-8.00000324038295,-7.15585200915483,NA,-8.00000324038295,-7.15585200915483,NA
"St. Martin (French part)","América Latina y el Caribe",2018,-7.99999506898229,-5.8923641662807,NA,-7.99999506898229,-5.8923641662807,NA
"St. Martin (French part)","América Latina y el Caribe",2019,6.50000363700821,11.9233703264347,NA,6.50000363700821,11.9233703264347,NA
"St. Martin (French part)","América Latina y el Caribe",2020,-12.500002246731,-5.67034471115365,NA,-12.500002246731,-5.67034471115365,NA
"St. Martin (French part)","América Latina y el Caribe",2021,4.89999967133534,11.2897229582813,NA,4.89999967133534,11.2897229582813,NA
"St. Martin (French part)","América Latina y el Caribe",2022,NA,NA,NA,NA,NA,NA
"St. Martin (French part)","América Latina y el Caribe",2023,NA,NA,NA,NA,NA,NA
"St. Martin (French part)","América Latina y el Caribe",2024,NA,NA,NA,NA,NA,NA
"St. Martin (French part)","América Latina y el Caribe",2025,NA,NA,NA,NA,NA,NA
"San Vicente y las Granadinas","América Latina y el Caribe",2016,4.1496810046981,4.74804540016839,NA,4.1496810046981,4.74804540016839,NA
"San Vicente y las Granadinas","América Latina y el Caribe",2017,1.54810173239956,2.20738641850942,NA,1.54810173239956,2.20738641850942,NA
"San Vicente y las Granadinas","América Latina y el Caribe",2018,3.1756114423991,3.90031671690731,NA,3.1756114423991,3.90031671690731,NA
"San Vicente y las Granadinas","América Latina y el Caribe",2019,0.668428481084234,1.40193657114291,NA,0.668428481084234,1.40193657114291,NA
"San Vicente y las Granadinas","América Latina y el Caribe",2020,-4.26892434422649,-3.67618803165428,NA,-4.26892434422649,-3.67618803165428,NA
"San Vicente y las Granadinas","América Latina y el Caribe",2021,2.09340124465459,2.77342166309265,NA,2.09340124465459,2.77342166309265,NA
"San Vicente y las Granadinas","América Latina y el Caribe",2022,3.1108330034352,3.91412869594379,NA,3.1108330034352,3.91412869594379,NA
"San Vicente y las Granadinas","América Latina y el Caribe",2023,5.32636472098717,6.07793111453327,NA,5.32636472098717,6.07793111453327,NA
"San Vicente y las Granadinas","América Latina y el Caribe",2024,4.06183490050209,4.79304780177681,NA,4.06183490050209,4.79304780177681,NA
"San Vicente y las Granadinas","América Latina y el Caribe",2025,NA,NA,NA,NA,NA,NA
"Sudán","África Subsahariana",2016,3.46764218409288,0.369473161527822,NA,3.46764218409288,0.369473161527822,NA
"Sudán","África Subsahariana",2017,0.70925628476644,-2.71987452387332,NA,0.70925628476644,-2.71987452387332,NA
"Sudán","África Subsahariana",2018,-2.6809305497999,-6.01716755998106,NA,-2.6809305497999,-6.01716755998106,NA
"Sudán","África Subsahariana",2019,-2.17825104530091,-5.00795943799888,NA,-2.17825104530091,-5.00795943799888,NA
"Sudán","África Subsahariana",2020,-3.62980082410752,-6.18595807947966,NA,-3.62980082410752,-6.18595807947966,NA
"Sudán","África Subsahariana",2021,-1.8685204827207,-4.47700779563793,NA,-1.8685204827207,-4.47700779563793,NA
"Sudán","África Subsahariana",2022,-0.957816591119183,-3.59800846557803,NA,-0.957816591119183,-3.59800846557803,NA
"Sudán","África Subsahariana",2023,-29.4332718325149,-30.363173571103,NA,-29.4332718325149,-30.363173571103,NA
"Sudán","África Subsahariana",2024,-13.9643375197179,-14.6570236407403,NA,-13.9643375197179,-14.6570236407403,NA
