nombre_pais,codigo_del_pais,region,anio,Crecimiento del PIB (% anual),PIB per cápita (US$ actuales),Crecimiento del PIB per cápita (% anual),"Inflación, precios al consumidor (% anual)","Expectativa de vida, total (años)",Mortalidad infantil (cada 1.000 nacimientos),"Gasto público en educación, total (% del PIB)",Indice de Gini,Índice de recuento de la pobreza multidimensional (Banco Mundial) (% de la población)
Armenia,ARM,Europa y Asia Central,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,ABW,América Latina y el Caribe,2016,1.2343353736342664,27441.55021446005,0.4699126512032592,-0.93119598707956,75.54,NA,5.49136018753052,NA,NA
Aruba,ABW,América Latina y el Caribe,2017,3.49342985290626,28440.04168814911,3.4858154928674168,-1.02828178762012,75.62,NA,4.45581996127504,NA,NA
Aruba,ABW,América Latina y el Caribe,2018,3.2124711192007567,30082.158422679753,3.048518448105696,3.6260414135296,75.88,NA,4.54876355243615,NA,NA
Aruba,ABW,América Latina y el Caribe,2019,1.2251122515881434,30645.89060245485,0.9516636456504273,4.25746204335427,76.019,NA,4.43503686776957,NA,NA
Aruba,ABW,América Latina y el Caribe,2020,-23.897989835239486,22759.807175072245,-23.466272979064314,NA,75.406,NA,NA,NA,NA
Aruba,ABW,América Latina y el Caribe,2021,14.730615921927253,26749.329609311764,15.675518951850648,NA,73.655,NA,3.61855755636695,NA,NA
Aruba,ABW,América Latina y el Caribe,2022,10.63643096044143,30975.9989121779,11.0385203097525,NA,76.226,NA,NA,NA,NA
Aruba,ABW,América Latina y el Caribe,2023,7.706798396509555,35718.75311916344,7.657639656940177,NA,76.353,NA,NA,NA,NA
Aruba,ABW,América Latina y el Caribe,2024,6.8107766932454155,39498.59412937967,6.181750775592704,NA,76.5,NA,NA,NA,NA
Aruba,ABW,América Latina y el Caribe,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,AUS,Asia Oriental y el Pacífico,2016,2.755640655298677,50084.44406063846,1.1631281153860868,1.27699365720306,82.4487804878049,3.2,NA,33.7,2.1
Australia,AUS,Asia Oriental y el Pacífico,2017,2.293310301929182,54117.54771860902,0.6225109872987105,1.94864309065653,82.50000000000001,3.2,NA,NA,NA
Australia,AUS,Asia Oriental y el Pacífico,2018,2.874170394995005,57410.173734600896,1.3466306507712034,1.91140002818579,82.7487804878049,3.2,NA,34.3,2.3
Australia,AUS,Asia Oriental y el Pacífico,2019,2.194017036227166,55194.75850974282,0.6952095637733748,1.610770929127,82.9,3.2,NA,NA,NA
Australia,AUS,Asia Oriental y el Pacífico,2020,-0.13353190430477468,51983.4523666382,-1.357747703207906,0.846900734607273,83.2,3.2,5.38625001907349,33.8,3.7
Australia,AUS,Asia Oriental y el Pacífico,2021,2.006948443350339,60758.9044397144,1.8633268700033625,2.86391284709318,83.3,3.2,5.34109020233154,NA,NA
Australia,AUS,Asia Oriental y el Pacífico,2022,4.253045592387323,65169.519111865666,2.917527279502025,6.59409658717841,83.2,3.2,5.05915021896362,NA,NA
Australia,AUS,Asia Oriental y el Pacífico,2023,3.583821007989812,65058.37731466737,1.092514033642928,5.59701792296707,83.05121951219513,3.1,NA,NA,NA
Australia,AUS,Asia Oriental y el Pacífico,2024,1.3734077336597466,64603.985630846415,-0.6277962632691896,3.16656665428797,83.05121951219513,3.1,NA,NA,NA
Australia,AUS,Asia Oriental y el Pacífico,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,AUT,Europa y Asia Central,2016,2.1172196449431198,45061.49939201917,1.0188772319298351,0.891591752655362,81.64146341463416,3,5.50954008102417,30.8,0.7
Austria,AUT,Europa y Asia Central,2017,2.272249920382066,47163.7425775142,1.5643068966353582,2.08126911385586,81.6439024390244,3,5.40181016921997,29.7,0.3
Austria,AUT,Europa y Asia Central,2018,2.484221140800244,51194.07498412994,1.9862629640023926,1.99837981429548,81.69268292682928,2.9,5.25437021255493,30.8,0.6
Austria,AUT,Europa y Asia Central,2019,1.7549761964928763,49885.99473552041,1.303503175658733,1.53089564152643,81.89512195121951,2.9,5.23678016662598,30.2,0.6
Austria,AUT,Europa y Asia Central,2020,-6.318255092099363,48716.4098900349,-6.706393610739738,1.38191063351853,81.19268292682928,2.9,5.57961988449097,29.8,0.7
Austria,AUT,Europa y Asia Central,2021,4.923091717179034,53648.643797621386,4.466965843644303,2.7666666666667,81.19024390243904,2.8,5.48071002960205,30.7,0.5
Austria,AUT,Europa y Asia Central,2022,5.330963794003708,52336.772522375766,4.328497511565587,8.54686993188457,81.2951219512195,2.8,5.27749013900757,30.9,0.6
Austria,AUT,Europa y Asia Central,2023,-0.7862442885946734,56579.50417546799,-1.763088598910329,7.81413417002831,81.79268292682929,2.8,NA,31.2,NA
Austria,AUT,Europa y Asia Central,2024,-0.6590895731713715,58268.878765160116,-1.159377786946294,2.93791574279375,81.99512195121952,2.8,NA,NA,NA
Austria,AUT,Europa y Asia Central,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azerbaiyán,AZE,Europa y Asia Central,2016,-3.0635984225170603,3880.685227683798,-4.141174872597375,12.4433748584372,72.568,19.8,2.90340995788574,NA,NA
Azerbaiyán,AZE,Europa y Asia Central,2017,0.15361466174550742,4147.198142322201,-0.8243484683117828,12.9359184187334,72.694,18.6,2.4738199710846,NA,NA
Azerbaiyán,AZE,Europa y Asia Central,2018,1.5004016716731314,4739.794312340805,0.6248843746925701,2.26854690373999,73.016,17.5,2.45543003082275,NA,NA
Azerbaiyán,AZE,Europa y Asia Central,2019,2.479808791855646,4805.753717659173,1.615829432871351,2.61057182799215,73.29,16.5,3.1764600276947,NA,NA
Azerbaiyán,AZE,Europa y Asia Central,2020,-4.19896065333343,4229.910649045028,-4.85235140794201,2.75980947008127,70.312,15.6,4.33204984664917,NA,NA
Azerbaiyán,AZE,Europa y Asia Central,2021,5.616440271505539,5408.045351750229,5.151489359037086,6.65029912708778,70.999,14.7,3.7020800113678,NA,NA
Azerbaiyán,AZE,Europa y Asia Central,2022,4.71468033247649,7770.594223350996,4.673317967871,13.8522590144267,74.125,13.9,3.04689002037048,NA,NA
Azerbaiyán,AZE,Europa y Asia Central,2023,1.3544774911576667,7133.028380483284,1.2326799286360313,8.7854304984908,74.429,13.2,3.66036009788513,NA,NA
Azerbaiyán,AZE,Europa y Asia Central,2024,4.07140205008956,7283.849907617904,3.572895502299204,2.21217188919901,74.576,12.5,NA,NA,NA
Azerbaiyán,AZE,Europa y Asia Central,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas (Las),BHS,América Latina y el Caribe,2016,-1.1565081126962866,30616.53631572844,-1.8465314844418117,-0.346376929989396,74.042,12.2,2.58786212973921,NA,NA
Bahamas (Las),BHS,América Latina y el Caribe,2017,3.3713988456488977,31875.488174961905,2.7281154949569952,1.51820700736147,74.031,12.1,2.69510162053495,NA,NA
Bahamas (Las),BHS,América Latina y el Caribe,2018,2.397955108235479,32642.335320345184,1.8159781736958962,2.26586346678735,74.062,12,2.49264112462151,NA,NA
Bahamas (Las),BHS,América Latina y el Caribe,2019,-0.838585871193203,33640.336986127826,-1.3305299995626285,2.49123527368045,71.408,16,2.62573176503127,NA,NA
Bahamas (Las),BHS,América Latina y el Caribe,2020,-20.08936648913992,26178.75376077077,-20.32918135592692,0.0385210980054557,72.994,11.9,3.7125229961238,NA,NA
Bahamas (Las),BHS,América Latina y el Caribe,2021,17.586139003740882,30367.860575770803,17.434844816468015,2.90491262928478,70.752,11.7,3.04890655208507,NA,NA
Bahamas (Las),BHS,América Latina y el Caribe,2022,10.877900941026766,34957.16132797368,10.552969099048639,5.60540633583043,74.491,11.6,2.62367021406169,NA,NA
Bahamas (Las),BHS,América Latina y el Caribe,2023,3.048241805537728,38231.77448427799,2.5575604618712617,3.05291578969742,74.552,11.3,2.74191570247934,NA,NA
Bahamas (Las),BHS,América Latina y el Caribe,2024,3.378665533361655,39455.44665485455,2.903871234629875,0.409162489083286,74.71,11.1,NA,NA,NA
Bahamas (Las),BHS,América Latina y el Caribe,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrein,BHR,Oriente Medio y Norte de África,2016,3.81499327422425,23800.001440631015,-0.07910987541033876,2.78679347602044,80.407,6.3,2.80248290251154,NA,NA
Bahrein,BHR,Oriente Medio y Norte de África,2017,4.953835341236569,24784.76935146067,-0.4570571661101752,1.38671830576406,80.407,6.3,2.21637010574341,NA,NA
Bahrein,BHR,Oriente Medio y Norte de África,2018,2.052588649798608,26324.40665495586,1.918495728888729,2.08766938046978,80.412,6.4,2.38893976833662,NA,NA
Bahrein,BHR,Oriente Medio y Norte de África,2019,2.052877744186546,27259.743859932696,3.382740869379532,1.00582004702136,80.471,6.5,2.11146982812491,NA,NA
Bahrein,BHR,Oriente Medio y Norte de África,2020,-5.911362952415203,24342.844455471797,-5.173074009324637,-2.31770629331378,78.683,6.6,2.05801907522052,NA,NA
Bahrein,BHR,Oriente Medio y Norte de África,2021,4.3500409166898635,27147.80838822855,2.119198224974994,-0.60631938514085,78.083,6.8,1.85115940115918,NA,NA
Bahrein,BHR,Oriente Medio y Norte de África,2022,6.180161254751852,30470.52192760228,4.76451212539493,3.62574104304482,80.992,7,1.71192127094005,NA,NA
