"nombre_pais","region","pbi_inicial","pbi_final","pbi_pc_inicial","pbi_pc_final","pob_inicial","pob_final"
"Kosovo","Europa y Asia Central",5.57177504731632,4.5730971681166,6.20761650241487,10.3656494300073,2.1,10
"Kuwait","Oriente Medio y Norte de África",2.92607584256388,-2.56011099967517,-1.43152053599024,-3.43244663969313,NA,NA
"Lesotho","África Subsahariana",3.60890731687714,2.85452253179545,2.35363981271321,1.71259070592455,47.7,NA
"Letonia","Europa y Asia Central",2.55168601974034,-0.0461080109713521,3.49318640044002,0.89583858235207,1.2,0.7
"Liberia","África Subsahariana",-1.5549586174878,4.02185464964835,-3.54590251888713,1.8018710155725,59.2,NA
"Libia","Oriente Medio y Norte de África",-1.4909411172622,1.89995052025442,-2.98083261952721,0.859500182813605,NA,NA
"Liechtenstein","Europa y Asia Central",NA,NA,NA,NA,NA,NA
"Lituania","Europa y Asia Central",2.67192215053329,2.77263124530285,3.87744054624235,2.17864980259621,1.9,1.3
"Luxemburgo","Europa y Asia Central",4.97819011520116,0.35861253942069,2.73979148676671,-1.2100374075406,1.2,3.3
"Líbano","Oriente Medio y Norte de África",1.55454940856943,-0.760584470257314,3.95420458700914,-1.25912842069158,NA,7.8
"Macao SAR, China","Asia Oriental y el Pacífico",-0.701510212552961,7.84960207010525,-2.16245351057516,6.56231424335874,NA,NA
"Macedonia del Norte","Europa y Asia Central",2.84820519363306,2.99373536567732,3.1782257470099,3.18889944421623,6,NA
"Madagascar","África Subsahariana",3.99314606199499,4.19999999988647,1.31063593376801,1.69312025320663,NA,79.1
"Malasia","Asia Oriental y el Pacífico",4.44978139761541,5.10545921024041,2.62004557566016,3.83035137439249,0.1,0.3
"Malawi","África Subsahariana",2.49999999914311,1.6734340852915,-0.256367435160101,-0.912638164593119,76.7,NA
"Maldivas","Asia del Sur",6.37528306716864,3.49440422654285,2.73896015037067,3.14046759606626,0.1,NA
"Malta","Oriente Medio y Norte de África",4.07800355932196,6.79990300224401,1.72282096153398,3.77715973676817,0.5,0.5
"Malí","África Subsahariana",6.00506308559498,4.99226917482922,2.70047363998611,1.94925730152001,49.1,56.1
"Marruecos","Oriente Medio y Norte de África",0.52118550608968,3.79336515978963,-0.693616602037565,2.77494467917541,NA,NA
"Mauricio","África Subsahariana",3.8624682634,4.92512304864294,3.79113070734437,5.16667893688918,0.7,NA
"Mauritania","África Subsahariana",1.26090923067225,6.30760213290844,-1.72979667450247,3.2855217223692,NA,NA
"Micronesia (Estados Federados de)","Asia Oriental y el Pacífico",0.942726461831327,0.718990177344025,0.61049232202113,0.247259311366733,NA,NA
"Mongolia","Asia Oriental y el Pacífico",1.48978448679577,5.12204539122661,-0.547071462431205,3.82045181254634,2.7,1.3
"Montenegro","Europa y Asia Central",3.4393056210999,3.16409886329913,3.32318817615919,3.16476067540844,NA,NA
"Mozambique","África Subsahariana",4.69699024225795,2.14854964610538,1.67319789859388,-0.791001789666225,NA,85
"Myanmar","Asia Oriental y el Pacífico",5.86247291518572,-0.97204641363362,5.02652118853597,-1.63760945284048,16.2,NA
"México","América Latina y el Caribe",1.77249323845399,1.42742769080466,0.790955216102532,0.558373546635821,5,1.9
"Mónaco","Europa y Asia Central",3.00844358752744,8.51053758860212,1.57423975069067,9.42342942977361,NA,NA
"Namibia","África Subsahariana",0.0337944502063294,3.71154502416731,-2.62833210419717,1.41712041604308,NA,NA
"Nauru","Asia Oriental y el Pacífico",4.13223140495909,1.38888888888904,2.30174554349074,0.77785683063172,NA,NA
"Nepal","Asia del Sur",0.433113719381524,3.66537430744967,-0.0405110299060141,3.81766783822374,NA,4.4
"New Caledonia","Asia Oriental y el Pacífico",0.400000000000006,-13.5,0.401770467057673,-14.3184777148637,NA,NA
"Nicaragua","América Latina y el Caribe",4.56314739524967,3.5878302292345,3.16650951067395,2.20198911444788,NA,NA
"Nigeria","África Subsahariana",-1.61686894906509,4.06236408888319,-4.01892534268501,1.91718752367555,42.1,47
"Northern Mariana Islands","Asia Oriental y el Pacífico",29.2121212121212,16.6427546628408,31.097890849885,18.9235637680801,NA,NA
"Noruega","Europa y Asia Central",1.16472423928819,2.09723059960317,0.277407788765373,1.13204599317447,2.1,0.4
"Nueva Zelandia","Asia Oriental y el Pacífico",3.77911068354334,1.28862004711685,1.47418017961533,-0.387550970211336,NA,NA
"Níger","África Subsahariana",5.74089315058157,10.3000000007793,1.92620628769158,6.73976595652603,79.7,78.6
"Omán","Oriente Medio y Norte de África",5.04642394571691,1.63163221127449,0.118553614303224,-2.83787602327396,NA,NA
"Pakistán","Asia del Sur",6.57383828511043,3.04898287335465,5.19506859858923,1.50503969652753,24.4,27.1
"Palau","Asia Oriental y el Pacífico",1.32685546630708,2.21599800170485,1.17313151858609,2.40051382141797,NA,NA
"Panamá","América Latina y el Caribe",4.57196696307969,2.74788545546916,2.77979898980544,1.45504306659862,NA,4.3
"Papua Nueva Guinea","Asia Oriental y el Pacífico",5.48957315278187,3.79979560086888,2.91791021651957,1.96584743874992,NA,NA
"Paraguay","América Latina y el Caribe",4.26802583314358,4.24996010464072,2.76597250767421,2.97101932232356,5.4,2.3
"Países Bajos (Reino de los)","Europa y Asia Central",2.42428572955482,1.08100584845663,1.88065314524779,0.427291768689813,1.2,1.6
"Perú","América Latina y el Caribe",3.95331871520767,3.30394098171516,2.57623039728159,2.18017278753871,9.1,6.9
